"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"STM32_NRESET","VCC3-2","53.975mm","33.1978mm","Bottom","0.9mm","Through hole"
"NetR26_1","U5-8","5.7658mm","31.4198mm","Bottom","0.84mm","Through hole"
"MASTER_CLK","Via","17.653mm","28.2702mm","Bottom","0.3mm","Through hole"
"LEPTON_PW_DWN_L","Via","15.4178mm","24.5364mm","Bottom","0.3mm","Through hole"
"SPI_MOSI","Via","24.003mm","31.4706mm","Bottom","0.3mm","Through hole"
"VCC12","Via","23.1034mm","32.2474mm","Bottom","0.508mm","Through hole"
"USB_ID","Via","25.1968mm","14.4272mm","Bottom","0.3mm","Through hole"
"OTG_FS_D_N","Via","25.908mm","15.24mm","Bottom","0.3mm","Through hole"
"TMS-SWDIO","Via","25.3238mm","16.0528mm","Bottom","0.3mm","Through hole"
"VCCUSB50","Via","35.0012mm","21.5138mm","Bottom","0.4mm","Through hole"
"NetSW3_2","Via","31.9278mm","16.3068mm","Bottom","0.3mm","Through hole"
"LEPTON_GPIO3","Via","16.002mm","16.8148mm","Bottom","0.3mm","Through hole"
"ESP_RST","Via","18.415mm","8.3058mm","Bottom","0.3mm","Through hole"
"BOOT0","Via","15.621mm","9.8298mm","Bottom","0.3mm","Through hole"
"TCK-SWCLK","Via","24.638mm","20.6248mm","Bottom","0.3mm","Through hole"
"GND","Via","1.778mm","1.5748mm","Bottom","0.4mm","Through hole"
"NetC37_1","Via","8.89mm","29.7688mm","Bottom","0.3mm","Through hole"
"ESP_CH_PD","Via","16.256mm","8.6868mm","Bottom","0.3mm","Through hole"
"LCD_DC","Via","16.002mm","15.7988mm","Bottom","0.3mm","Through hole"
"OTG_FS_D_P","Via","25.9842mm","14.3256mm","Bottom","0.3mm","Through hole"
"COMP_SDA","Via","19.2786mm","19.6088mm","Bottom","0.3mm","Through hole"
"COMP_SCL","Via","20.0152mm","20.0914mm","Bottom","0.3mm","Through hole"
"VCC28A","Via","15.748mm","11.0998mm","Bottom","0.4mm","Through hole"
"LEPTON_RESET_L","Via","14.859mm","23.1648mm","Bottom","0.3mm","Through hole"
"SPI_MISO","Via","24.003mm","30.5308mm","Bottom","0.3mm","Through hole"
"VCC_LI_ION","Via","37.338mm","21.6789mm","Bottom","0.3mm","Through hole"
"TDI","Via","23.2868mm","18.928mm","Bottom","0.3mm","Through hole"
"TDO","Via","22.352mm","19.1008mm","Bottom","0.3mm","Through hole"
"VIN","Via","37.592mm","23.6728mm","Bottom","0.4mm","Through hole"
"VCC30_IO","Via","5.334mm","2.3368mm","Bottom","0.4mm","Through hole"
"SPI_CLK","Via","24.003mm","29.4132mm","Bottom","0.3mm","Through hole"
"SPI_CS","Via","24.0284mm","28.4988mm","Bottom","0.3mm","Through hole"
"PA2_USART2_RX","Via","18.1864mm","9.8298mm","Bottom","0.3mm","Through hole"
"PA2_USART2_TX","Via","17.2974mm","9.6266mm","Bottom","0.3mm","Through hole"
"PB_STAT","Via","18.8311mm","10.3632mm","Bottom","0.3mm","Through hole"
