"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"STM32_NRESET","VCC3-2","2125mil","1307mil","Bottom","35.433mil","Through hole"
"NetR26_1","U5-8","227mil","1237mil","Bottom","33.071mil","Through hole"
"MASTER_CLK","Via","695mil","1113mil","Bottom","11.811mil","Through hole"
"LEPTON_PW_DWN_L","Via","607mil","966mil","Bottom","11.811mil","Through hole"
"SPI_MOSI","Via","945mil","1239mil","Bottom","11.811mil","Through hole"
"VCC12","Via","909.583mil","1269.583mil","Bottom","20mil","Through hole"
"USB_ID","Via","992mil","568mil","Bottom","11.811mil","Through hole"
"OTG_FS_D_N","Via","1020mil","600mil","Bottom","11.811mil","Through hole"
"TMS-SWDIO","Via","997mil","632mil","Bottom","11.811mil","Through hole"
"VCCUSB50","Via","1378mil","847mil","Bottom","15.748mil","Through hole"
"NetSW3_2","Via","1257mil","642mil","Bottom","11.811mil","Through hole"
"LEPTON_GPIO3","Via","630mil","662mil","Bottom","11.811mil","Through hole"
"ESP_RST","Via","725mil","327mil","Bottom","11.811mil","Through hole"
"BOOT0","Via","615mil","387mil","Bottom","11.811mil","Through hole"
"TCK-SWCLK","Via","970mil","812mil","Bottom","11.811mil","Through hole"
"GND","Via","70mil","62mil","Bottom","15.748mil","Through hole"
"NetC37_1","Via","350mil","1172mil","Bottom","11.811mil","Through hole"
"ESP_CH_PD","Via","640mil","342mil","Bottom","11.811mil","Through hole"
"LCD_DC","Via","630mil","622mil","Bottom","11.811mil","Through hole"
"OTG_FS_D_P","Via","1023mil","564mil","Bottom","11.811mil","Through hole"
"COMP_SDA","Via","759mil","772mil","Bottom","11.811mil","Through hole"
"COMP_SCL","Via","788mil","791mil","Bottom","11.811mil","Through hole"
"VCC28A","Via","620mil","437mil","Bottom","15.748mil","Through hole"
"LEPTON_RESET_L","Via","585mil","912mil","Bottom","11.811mil","Through hole"
"SPI_MISO","Via","945mil","1202mil","Bottom","11.811mil","Through hole"
"VCC_LI_ION","Via","1470mil","853.5mil","Bottom","11.811mil","Through hole"
"TDI","Via","916.803mil","745.197mil","Bottom","11.811mil","Through hole"
"TDO","Via","880mil","752mil","Bottom","11.811mil","Through hole"
"VIN","Via","1480mil","932mil","Bottom","15.748mil","Through hole"
"VCC30_IO","Via","210mil","92mil","Bottom","15.748mil","Through hole"
"SPI_CLK","Via","945mil","1158mil","Bottom","11.811mil","Through hole"
"SPI_CS","Via","946mil","1122mil","Bottom","11.811mil","Through hole"
"PA2_USART2_RX","Via","716mil","387mil","Bottom","11.811mil","Through hole"
"PA2_USART2_TX","Via","681mil","379mil","Bottom","11.811mil","Through hole"
"PB_STAT","Via","741.38mil","408mil","Bottom","11.811mil","Through hole"
